City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,General Roca,AR,-39.0333,-67.5833,66.36,15,28,9.36,scattered clouds
1,Mataura,NZ,-46.1927,168.8643,46.13,95,98,0.9,overcast clouds
2,Albany,US,42.6001,-73.9662,41.88,85,100,0.92,moderate rain
3,Dharmavaram,IN,14.4333,77.7167,84.0,32,92,1.39,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,76.71,66,56,4.59,broken clouds
5,Hermanus,ZA,-34.4187,19.2345,61.81,87,1,3.84,clear sky
6,Ushuaia,AR,-54.8,-68.3,38.86,81,40,13.89,light rain
7,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,74,40,5.66,scattered clouds
8,Ribeira Grande,PT,38.5167,-28.7,64.8,63,20,4.63,few clouds
9,Cape Town,ZA,-33.9258,18.4232,65.12,80,0,6.17,clear sky
10,Bluff,NZ,-46.6,168.3333,56.23,75,98,5.49,overcast clouds
11,Mogok,MM,22.9167,96.5,60.42,94,56,1.62,broken clouds
12,Katsuura,JP,35.1333,140.3,54.25,87,100,8.05,moderate rain
13,Codrington,AU,-38.2667,141.9667,58.39,85,100,2.41,overcast clouds
14,Atuona,PF,-9.8,-139.0333,79.95,72,83,9.45,broken clouds
15,Kultuk,RU,51.7208,103.6956,26.42,97,100,0.66,light snow
16,Castro,BR,-24.7911,-50.0119,71.73,80,69,2.05,broken clouds
17,Quatre Cocos,MU,-20.2078,57.7625,80.1,79,21,5.85,few clouds
18,Puerto Leguizamo,CO,-0.1934,-74.7819,84.78,63,99,1.15,overcast clouds
19,Bandar-E Lengeh,IR,26.5579,54.8807,79.3,49,41,2.61,scattered clouds
20,Hithadhoo,MV,-0.6,73.0833,83.03,69,53,2.15,broken clouds
21,Alofi,NU,-19.0595,-169.9187,75.09,94,89,1.54,overcast clouds
22,Havoysund,NO,70.9963,24.6622,26.83,57,100,6.54,overcast clouds
23,Sao Francisco,BR,-15.9486,-44.8644,91.2,27,2,3.0,clear sky
24,Pevek,RU,69.7008,170.3133,-19.73,96,24,1.02,few clouds
25,Khatanga,RU,71.9667,102.5,-29.15,100,99,1.83,overcast clouds
26,Cherskiy,RU,68.75,161.3,-2.67,98,100,1.61,overcast clouds
27,East London,ZA,-33.0153,27.9116,72.39,89,100,6.89,overcast clouds
28,Semey,KZ,50.4111,80.2275,37.65,77,62,3.85,broken clouds
29,Mar Del Plata,AR,-38.0023,-57.5575,75.22,62,40,9.77,scattered clouds
30,Kapaa,US,22.0752,-159.319,78.19,78,40,9.26,scattered clouds
31,Krasavino,RU,60.9614,46.4814,24.8,93,100,4.19,overcast clouds
32,Omboue,GA,-1.5746,9.2618,78.1,87,77,2.17,broken clouds
33,Miyako,JP,39.6367,141.9525,43.88,88,100,2.71,overcast clouds
34,Bredasdorp,ZA,-34.5322,20.0403,61.47,88,56,1.02,broken clouds
35,New Norfolk,AU,-42.7826,147.0587,56.7,89,99,0.46,overcast clouds
36,Faanui,PF,-16.4833,-151.75,81.82,75,71,4.7,broken clouds
37,Kondinskoye,RU,59.6481,67.41,35.53,100,100,6.64,overcast clouds
38,Souillac,MU,-20.5167,57.5167,79.18,83,75,5.14,broken clouds
39,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,69,20,1.03,few clouds
40,San Blas,MX,21.5167,-105.2667,98.49,63,2,4.15,clear sky
41,Hobart,AU,-42.8794,147.3294,57.06,95,100,2.57,overcast clouds
42,Kodiak,US,57.79,-152.4072,36.91,65,100,5.14,overcast clouds
43,Yulara,AU,-25.2406,130.9889,57.04,35,0,2.06,clear sky
44,Nevinnomyssk,RU,44.6267,41.9453,48.74,81,100,9.94,overcast clouds
45,Bengkulu,ID,-3.8004,102.2655,76.93,82,100,2.06,overcast clouds
46,Ust-Tsilma,RU,65.441,52.1498,22.14,94,100,3.9,light snow
47,Namatanai,PG,-3.6667,152.4333,78.37,85,100,1.07,light rain
48,Kahului,US,20.8947,-156.47,78.82,66,40,11.32,scattered clouds
49,Port Elizabeth,ZA,-33.918,25.5701,64.09,96,0,3.6,clear sky
50,Kurilsk,RU,45.2333,147.8833,35.28,77,0,3.62,clear sky
51,Princeville,CA,45.7668,-61.2985,42.91,70,0,4.63,clear sky
